ox,oy,oz,ow,ax,ay,az,lx,ly,lz
-0.06041932,0.05046213,0.07762308,0.99387014,-0.00039947,0.00292948,0.00039947,-0.01112825,-0.01133364,0.10184714
-0.06105637,0.05039319,0.08117503,0.99355084,-0.00013316,0.00319579,0.0,-0.01148923,-0.01158882,0.10212722
-0.06045746,0.05029101,0.08082048,0.99362153,-0.00026632,0.0015979,0.00013316,-0.01147056,-0.01152035,0.10230149
-0.05927876,0.05030091,0.0771087,0.99398702,0.00119842,0.00146474,0.00013316,-0.01135231,-0.01158259,0.10206498
-0.05939052,0.05040741,0.07589129,0.99406868,0.00146474,0.0015979,0.0,-0.01113447,-0.01147056,0.10177868
-0.06010234,0.05053246,0.07815197,0.99384427,-0.00039947,0.00359527,0.00013316,-0.01150168,-0.01157637,0.10164176
-0.06029955,0.05053623,0.07902854,0.99376279,-0.00013316,0.00186421,0.00133158,-0.01120916,-0.01150791,0.102121
-0.05954252,0.05045983,0.07610316,0.99404073,0.00013316,0.00199737,0.00066579,-0.01106601,-0.01152658,0.10202141
-0.05916088,0.05058329,0.07437747,0.99418777,0.0,0.00239685,0.00026632,-0.01133986,-0.01151413,0.10233883
-0.05935455,0.05039781,0.07480821,0.99415332,-0.00026632,0.00346211,0.0,-0.0111158,-0.01137721,0.10163553
-0.05964487,0.05037483,0.07501841,0.99412125,-0.00106526,0.00426106,0.00039947,-0.01109713,-0.01143322,0.10188448
-0.06007756,0.05026931,0.07597046,0.99402833,-0.00013316,0.00292948,-0.00119842,-0.01141455,-0.0115328,0.1018347
-0.06017091,0.05021539,0.07681538,0.99396038,0.0,0.00239685,-0.00079895,-0.01119049,-0.01138343,0.10189693
-0.06025514,0.05019493,0.07763222,0.99389291,-0.00079895,0.00199737,-0.00106526,-0.01114692,-0.01141455,0.10211477
-0.06045529,0.05035356,0.07836374,0.9938153,0.00039947,0.00372843,0.00239685,-0.01138343,-0.01156392,0.10185959
-0.06082182,0.05007935,0.080691,0.99362051,0.00253,0.0015979,-0.00066579,-0.01115937,-0.0115328,0.10177868
-0.06147201,0.04986725,0.0850173,0.9932304,0.00093211,0.00359527,0.00093211,-0.01137098,-0.01152658,0.10237617
-0.06136234,0.04977798,0.08660886,0.9931041,-0.0015979,0.00399474,0.00026632,-0.01115937,-0.01151413,0.10199652
-0.05939067,0.05005222,0.08061907,0.99371427,0.00133158,0.00079895,0.00106526,-0.0112465,-0.01157637,0.10225792
-0.05876692,0.0502382,0.07736488,0.99400061,-0.00053263,0.00319579,0.00053263,-0.01128385,-0.01147056,0.10192183
-0.05852677,0.05036967,0.07474955,0.99420822,0.00226369,0.00213053,0.00093211,-0.01137721,-0.01157014,0.10194051
-0.05891018,0.05068108,0.07326028,0.99428064,0.00106526,0.00239685,0.00093211,-0.0114021,-0.01158882,0.10204008
-0.06041914,0.05065146,0.07629585,0.99396324,0.0,0.00292948,-0.00026632,-0.011427,-0.01163861,0.10189071
